caption,file_path,text,data
A child yelling as a young boy talks during several slaps on a hard surface,103547.wav,"Say yeah, baby. Say yeah, baby. Are you over tired?",ac
A man talking as a stream of water trickles in the background,103543.wav,Here we have a Britain Stratton 5 horsepower horse drove L4 motor and it is on the back of this 17 foot,ac
A person briefly talks followed quickly by toilet flushing and another voice from another person,104278.wav,Well see you next Tuesday,ac
A person talking which later imitates a couple of meow sounds,104277.wav,I'm gonna scratch your fucking eyes out!,ac
A man talking as a door slams shut followed by a door creaking,104272.wav,me and just for me and you to hang out together. God's not like a cranky neighbor so we need to persist in,ac
A female speaking with some rustling followed by another female speaking,105634.wav,The IT services at the King's University College are proud to announce that we have launched,ac
Males speaking and then a clock ticks twice,105637.wav,your face you'd like to make that decision wouldn't you? Certainly would. Well we're gonna find out what that decision will be in just a moment.,ac
A woman speaking followed by a porcelain plate clanking as food and oil sizzles,102942.wav,Now that we're back we have fried our chicken nuggets and now we're going to take out the last batch look how pretty brown,ac
Ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and wind blows into a microphone,102945.wav,"Take a picture of her other, other, other lad and then take a picture of her other girl.",ac
"An adult female speaks, and muted speech occurs briefly in the background",102948.wav,"in his hand, he had that acting degree. He had a dream and he wanted to fulfil. He was in this dreamland.",ac
A man speaking followed by another man speaking with some rustling,103704.wav,Antford briefs the press on the ground rules.,ac
Digital beeps repeating then a person speaks,107289.wav,That isn't wired up by the way. Let's get this one here too. That's it.,ac
A man and woman laughing followed by a man shouting then a woman laughing as a child laughs,105082.wav,She loves that laugh.,ac
Crumpling paper noise with female speech,81991.wav,And it's pretty soft too as well. Here's the tag.,ac
A small motor buzzing followed by a man speaking as a metal door closes,103474.wav,and close this now it works actually,ac
Food and oil sizzling as a woman is talking followed by dinner plates clanking,103470.wav,Now that we're back we have fried our chicken nuggets and now we're going to take out the last batch look how pretty brown,ac
A man speaking over an intercom as a helicopter engine runs followed by several gunshots firing,104753.wav,"AA, west of your location. Objective Alpha has just been neutralized.",ac
A man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone,104752.wav,"Okay, what we're gonna do we're gonna take the mamas, we're gonna bring them over here and we're gonna make them submit on the ground.",ac
A rooster clucking followed by a dog whimpering then a man talking and a dog barking,107130.wav,Get the bunny!,ac
A man speaking as birds are chirping,107132.wav,"She proudly guards her kill, an event seldom seen in the wild and never before felt.",ac
Whistling as a man speaks,107136.wav,"as the source gets closer. You begin to panic inside but remain stone on the outside. As soon as it began, the whistling suddenly ceased",ac
A man is speaking as paper is crumpling,107138.wav,a comic book type of seal. Okay.,ac
A man is speaking followed by a child speaking and then laughter,103394.wav,had scoliosis and had surgery here and they just do a great job here.,ac
A man speaking as a stream of water splashes and flows while music faintly plays in the distance,103937.wav,in the amateur show tonight then tomorrow on Saturday the broadcasters and the other amateur cast will be going out hope to do well there get some good footage hope you enjoy,ac
A man talking followed by a series of belches,103931.wav,What was that?,ac
A woman speaks as she fries food,103933.wav,Adding our drumsticks. Let's just...,ac
A man speaks as water flows from a faucet in quick bursts,104824.wav,The one on the front is a proximity sensor. So it will turn on and off as you move your hand into and away from it. So showing off some of the,ac
"The wind is blowing, an adult male speaks via an electronic device, and a click occurs",105885.wav,"The wheel switch is turned up in the on position. Let's give it a start. Water pump, fuel pump, priming.",ac
A man talks over a clicking sound and a car engine switches gears and speeds up,107039.wav,second gear the car doesn't spool up too quick anymore because of the turbo and,ac
A power tool vibrating quick followed by a man speaking and some bangs,105304.wav,Okay.,ac
